,Player,Club,POS,GP,GS,MINS,G,A,SHTS,SOG,GWG,HmG,RdG,Gp90,SCpct,Year,Season,GWA,HmA,RdA,Ap90,SOGpct,FC,FS,OFF,YC,RC,PKG,PKA,Last Name,First Name,Club Name
2617,Kekuta Manneh,VAN,M-F,20,6,764,6,2,38,15,1,2,4,0.71,15.8,2013,REG,0,2,0,0.24,39.5,1,9,14,1,0,0,0,Manneh,Kekuta,VAN
2618,Kenny Cooper,DAL,F,31,19,1741,6,1,45,21,1,4,2,0.31,13.3,2013,REG,0,0,1,0.05,46.7,22,24,23,2,1,2,3,Cooper,Kenny,DAL
2619,Felipe,NY,M,32,28,2350,5,8,55,24,2,3,2,0.19,9.1,2013,REG,2,5,3,0.31,43.6,32,58,5,6,0,0,0,,Felipe,NY
2620,Dillon Powers,OCS,M,30,29,2457,5,6,27,11,1,3,2,0.18,18.5,2013,REG,1,4,2,0.22,40.7,29,62,1,4,0,0,0,Powers,Dillon,ORL
2621,Jonny Steele,NY,M,33,32,2665,5,6,46,15,0,3,2,0.17,10.9,2013,REG,2,4,2,0.2,32.6,42,18,12,4,0,0,0,Steele,Jonny,NY
2622,Ned Grabavoy,RSL,M,32,29,2688,5,5,29,10,0,1,4,0.17,17.2,2013,REG,1,4,1,0.17,34.5,37,63,3,5,0,0,0,Grabavoy,Ned,RSL
2623,Saer Sene,NE,M,24,14,1218,5,5,41,18,2,4,1,0.37,12.2,2013,REG,0,3,2,0.37,43.9,17,7,8,1,1,0,1,Sene,Saer,NE
2624,Olmes Garcia,RSL,F,24,8,996,5,4,33,15,2,2,3,0.45,15.2,2013,REG,2,2,2,0.36,45.5,26,26,7,5,0,0,0,Garcia,Olmes,RSL
2625,Luis Gil,RSL,M,30,24,2060,5,3,36,13,2,5,0,0.22,13.9,2013,REG,0,1,2,0.13,36.1,20,21,2,2,0,0,0,Gil,Luis,RSL
2626,Edson Buddle,COL,F,24,19,1664,5,3,56,17,3,2,3,0.27,8.9,2013,REG,2,3,0,0.16,30.4,37,21,11,1,0,0,0,Buddle,Edson,COL
2627,Lloyd Sam,DC,M-F,22,8,814,5,1,7,5,2,2,3,0.55,71.4,2013,REG,0,0,1,0.11,71.4,10,13,3,0,1,0,0,Sam,Lloyd,DC
2628,Jonathan Osorio,TOR,M,28,18,1697,5,1,28,8,0,5,0,0.27,17.9,2013,REG,1,1,0,0.05,28.6,15,31,2,1,0,0,0,Osorio,Jonathan,TOR
2629,Atiba Harris,COL,D,29,24,2012,5,1,51,16,2,4,1,0.22,9.8,2013,REG,1,0,1,0.04,31.4,52,43,12,2,1,0,0,Harris,Atiba,COL
2630,Brad Davis,HOU,M,26,25,2204,4,9,40,19,1,2,2,0.16,10.0,2013,REG,3,6,3,0.37,47.5,27,35,5,2,1,1,2,Davis,Brad,HOU
2631,Patrice Bernier,MTL,M,31,28,2474,4,8,23,7,0,2,2,0.15,17.4,2013,REG,5,7,1,0.29,30.4,50,43,0,4,0,4,4,Bernier,Patrice,MTL
2632,Mauro Rosales,SEA,M,33,26,2175,4,8,24,7,0,2,2,0.17,16.7,2013,REG,5,4,4,0.33,29.2,20,43,4,2,0,0,0,Rosales,Mauro,SEA
2633,Joao Plata,RSL,F,29,19,1645,4,8,50,19,2,2,2,0.22,8.0,2013,REG,3,5,3,0.44,38.0,16,16,11,1,0,0,0,Plata,Joao,RSL
2634,Lee Nguyen,NE,M,33,32,2838,4,7,56,22,1,3,1,0.13,7.1,2013,REG,4,4,3,0.22,39.3,63,64,1,6,0,2,3,Nguyen,Lee,NE
2635,Kyle Beckerman,RSL,M,26,26,2281,4,6,46,17,2,3,1,0.16,8.7,2013,REG,2,3,3,0.24,37.0,26,17,0,7,0,0,0,Beckerman,Kyle,RSL
2636,Marcelo Sarvas,LA,M,33,33,2897,4,6,53,15,2,2,2,0.12,7.5,2013,REG,3,3,3,0.19,28.3,80,62,1,9,0,0,0,Sarvas,Marcelo,LA
2637,Brad Evans,SEA,D-M,24,21,1761,4,5,37,11,0,3,1,0.2,10.8,2013,REG,1,4,1,0.26,29.7,22,25,7,3,0,2,2,Evans,Brad,SEA
2638,Dax McCarty,CHI,M,30,29,2582,4,4,17,6,1,3,1,0.14,23.5,2013,REG,3,1,3,0.14,35.3,28,36,1,2,0,0,0,McCarty,Dax,CHI
2639,Patrick Nyarko,CHI,F-M,30,24,2153,4,4,40,16,0,2,2,0.17,10.0,2013,REG,1,2,2,0.17,40.0,33,70,13,1,0,0,0,Nyarko,Patrick,CHI
2640,Ricardo Clark,HOU,M,30,29,2517,4,4,46,11,3,3,1,0.14,8.7,2013,REG,2,2,2,0.14,23.9,36,51,3,2,0,0,0,Clark,Ricardo,HOU
2641,Soony Saad,SKC,F,23,15,1353,4,4,58,15,1,3,1,0.27,6.9,2013,REG,2,4,0,0.27,25.9,18,31,3,1,0,0,0,Saad,Soony,KC
2642,Gyasi Zardes,CLB,F,27,23,2170,4,4,78,23,2,2,2,0.17,5.1,2013,REG,2,4,0,0.17,29.5,26,31,7,1,0,0,0,Zardes,Gyasi,CLB
2643,Alan Gordon,SJ,F,24,17,1436,4,3,40,14,1,2,2,0.25,10.0,2013,REG,0,1,2,0.19,35.0,53,33,23,7,1,0,0,Gordon,Alan,SJ
2644,Dilly Duka,CHI,M,31,24,1788,4,3,62,28,1,2,2,0.2,6.5,2013,REG,0,1,2,0.15,45.2,39,23,1,3,0,0,0,Duka,Dilly,CHI
2645,Eric Alexander,HOU,M,34,30,2504,4,2,33,9,1,2,2,0.14,12.1,2013,REG,1,2,0,0.07,27.3,19,18,0,2,0,0,0,Alexander,Eric,HOU
2646,CJ Sapong,PHI,F,25,16,1551,4,2,33,13,1,2,2,0.23,12.1,2013,REG,1,1,1,0.12,39.4,39,49,5,1,1,0,0,Sapong,CJ,PHI
2647,Steven Lenhart,SJ,F,21,14,1322,4,2,35,13,2,1,3,0.27,11.4,2013,REG,2,2,0,0.14,37.1,36,39,13,7,1,0,0,Lenhart,Steven,SJ
2648,Jordan Harvey,LFC,D,24,23,2082,4,1,10,6,0,2,2,0.17,40.0,2013,REG,0,1,0,0.04,60.0,25,18,1,5,0,0,0,Harvey,Jordan,LAFC
2649,Nathan Sturgis,COL,M,25,23,2037,4,1,27,7,1,3,1,0.18,14.8,2013,REG,0,0,1,0.04,25.9,34,22,0,6,0,0,0,Sturgis,Nathan,COL
2650,Bernardo Añor,CLB,M,20,19,1663,4,1,53,17,1,2,2,0.22,7.5,2013,REG,1,1,0,0.05,32.1,34,35,4,4,0,0,0,Añor,Bernardo,CLB
2651,Chris Rolfe,CHI,F,31,26,2135,4,1,69,19,1,3,1,0.17,5.8,2013,REG,0,0,1,0.04,27.5,17,20,8,3,0,0,1,Rolfe,Chris,CHI
2652,Jámison Olave,NY,D,29,27,2368,4,0,11,6,0,1,3,0.15,36.4,2013,REG,0,0,0,0.0,54.5,38,13,3,4,1,0,0,Olave,Jámison,NY
2653,Adam Jahn,CLB,F,22,11,1059,4,0,29,10,0,4,0,0.34,13.8,2013,REG,0,0,0,0.0,34.5,16,9,5,1,0,0,0,Jahn,Adam,CLB
2654,Sébastien Le Toux,PHI,F,32,25,2222,3,12,34,13,0,1,2,0.12,8.8,2013,REG,5,10,2,0.49,38.2,11,25,13,0,0,0,0,Le Toux,Sébastien,PHI
2655,David Ferreira,DAL,M,30,26,2419,3,9,32,10,1,0,3,0.11,9.4,2013,REG,3,6,3,0.33,31.3,24,76,5,4,0,0,0,Ferreira,David,DAL
2656,Michel Garbini Pereira,DAL,M-D,31,26,2284,3,8,29,10,0,2,1,0.12,10.3,2013,REG,3,5,3,0.32,34.5,30,26,1,3,0,1,1,Garbini Pereira,Michel,DAL
2657,Boniek Garcia,HOU,M,22,21,1899,3,6,18,5,0,2,1,0.14,16.7,2013,REG,4,4,2,0.28,27.8,27,35,7,4,0,2,2,Garcia,Boniek,HOU
2658,Hector Jimenez,CLB,M,26,14,1178,3,4,20,7,0,1,2,0.23,15.0,2013,REG,0,0,4,0.31,35.0,10,13,1,0,0,0,0,Jimenez,Hector,CLB
2659,Dimitry Imbongo,NE,F,21,11,1041,3,4,30,10,0,1,2,0.26,10.0,2013,REG,1,3,1,0.35,33.3,37,30,16,5,3,0,0,Imbongo,Dimitry,NE
2660,Benny Feilhaber,LFC,M,27,22,1774,3,4,33,12,0,2,1,0.15,9.1,2013,REG,1,4,0,0.2,36.4,26,45,1,4,0,0,0,Feilhaber,Benny,LAFC
2661,Luis Silva,RSL,M,27,24,1982,3,4,45,16,0,2,1,0.14,6.7,2013,REG,0,3,1,0.18,35.6,20,29,6,3,0,0,0,Silva,Luis,RSL
2662,Jairo Arrieta,CLB,F,26,21,1862,3,4,64,18,0,0,3,0.15,4.7,2013,REG,3,3,1,0.19,28.1,44,28,24,6,0,0,0,Arrieta,Jairo,CLB
2663,Hassoun Camara,MTL,D,32,32,2874,3,3,20,6,0,1,2,0.09,15.0,2013,REG,2,1,2,0.09,30.0,35,35,1,7,0,0,0,Camara,Hassoun,MTL
2664,Amobi Okugo,PHI,D-M,32,32,2879,3,3,25,6,0,2,1,0.09,12.0,2013,REG,1,0,3,0.09,24.0,36,24,3,6,1,0,0,Okugo,Amobi,PHI
2665,Gershon Koffie,VAN,M,26,21,1911,3,3,25,9,1,3,0,0.14,12.0,2013,REG,1,3,0,0.14,36.0,33,46,1,6,0,0,0,Koffie,Gershon,VAN
2666,Kalif Alhassan,POR,M,30,15,1324,3,3,34,11,2,3,0,0.2,8.8,2013,REG,1,3,0,0.2,32.4,20,28,4,2,0,0,0,Alhassan,Kalif,POR
2667,Jackson Goncalves,DAL,M,30,29,2375,3,3,61,17,1,3,0,0.11,4.9,2013,REG,1,1,2,0.11,27.9,57,44,10,5,2,0,0,Goncalves,Jackson,DAL
2668,Mauro Diaz,DAL,M,10,5,423,3,2,11,6,1,2,1,0.64,27.3,2013,REG,0,2,0,0.43,54.5,3,8,1,0,0,0,0,Diaz,Mauro,DAL
2669,Antoine Hoppenot,PHI,F,30,2,732,3,2,20,8,1,1,2,0.37,15.0,2013,REG,1,0,2,0.25,40.0,15,23,5,3,0,0,0,Hoppenot,Antoine,PHI
2670,Eric Avila,CHV,M,28,24,2183,3,2,27,10,1,1,2,0.12,11.1,2013,REG,0,1,1,0.08,37.0,25,50,5,1,1,0,0,Avila,Eric,CHV
2671,Danny Cruz,PHI,M-F,32,32,2190,3,2,56,19,0,2,1,0.12,5.4,2013,REG,0,0,2,0.08,33.9,31,45,3,5,0,0,0,Cruz,Danny,PHI
2672,Dwayne De Rosario,DC,M,24,17,1603,3,2,59,22,0,2,1,0.17,5.1,2013,REG,0,1,1,0.11,37.3,25,38,25,2,0,1,2,De Rosario,Dwayne,DC
2673,Gabriel Torres,PAN,M-F,7,5,507,3,1,15,4,1,3,0,0.53,20.0,2013,REG,0,1,0,0.18,26.7,2,5,4,0,0,1,1,Torres,Gabriel,UNK
2674,Warren Creavalle,PHI,M,27,17,1629,3,1,22,7,1,1,2,0.17,13.6,2013,REG,0,1,0,0.06,31.8,22,17,0,3,0,0,0,Creavalle,Warren,PHI
2675,Andrew Driver,HOU,M,26,20,1694,3,1,24,11,1,0,3,0.16,12.5,2013,REG,0,0,1,0.05,45.8,25,9,3,5,0,0,0,Driver,Andrew,HOU
2676,Aurélien Collin,NY,D,29,29,2565,3,1,33,9,2,1,2,0.11,9.1,2013,REG,0,1,0,0.04,27.3,54,24,5,13,0,0,0,Collin,Aurélien,NY
2677,Adam Moffat,HOU,M,32,28,2332,3,1,36,6,1,0,3,0.12,8.3,2013,REG,1,1,0,0.04,16.7,32,18,2,4,0,0,0,Moffat,Adam,HOU
2678,Andrew Jacobson,DAL,M,27,27,2292,3,1,40,9,0,2,1,0.12,7.5,2013,REG,0,1,0,0.04,22.5,46,38,4,3,0,0,0,Jacobson,Andrew,DAL
2679,Kyle Porter,DC,M,27,18,1594,3,1,41,13,0,3,0,0.17,7.3,2013,REG,0,0,1,0.06,31.7,22,24,6,3,0,0,0,Porter,Kyle,DC
2680,Darren Mattocks,DC,F,20,8,911,3,1,45,14,0,2,1,0.3,6.7,2013,REG,0,1,0,0.1,31.1,14,12,10,0,0,0,0,Mattocks,Darren,DC
2681,Quincy Amarikwa,SJ,F,14,0,299,3,0,12,7,0,0,3,0.9,25.0,2013,REG,0,0,0,0.0,58.3,17,10,3,0,0,0,0,Amarikwa,Quincy,SJ
2682,Ike Opara,SKC,D,18,15,1397,3,0,13,6,2,0,3,0.19,23.1,2013,REG,0,0,0,0.0,46.2,25,4,1,3,0,0,0,Opara,Ike,KC
2683,Matt Hedges,DAL,D,33,32,2793,3,0,13,4,1,2,1,0.1,23.1,2013,REG,0,0,0,0.0,30.8,19,16,1,1,0,0,0,Hedges,Matt,DAL
2684,Darel Russell,TOR,D,18,10,924,3,0,16,9,0,3,0,0.29,18.8,2013,REG,0,0,0,0.0,56.3,21,17,0,5,0,0,0,Russell,Darel,TOR
2685,Drew Moor,TOR,D,32,31,2793,3,0,18,6,0,1,2,0.1,16.7,2013,REG,0,0,0,0.0,33.3,17,24,0,1,1,0,0,Moor,Drew,TOR
2686,Devon Sandoval,RSL,F,17,10,885,3,0,18,9,1,1,2,0.31,16.7,2013,REG,0,0,0,0.0,50.0,13,12,3,1,0,0,0,Sandoval,Devon,RSL
2687,Josh Williams,CLB,D,27,25,2284,3,0,21,8,0,1,2,0.12,14.3,2013,REG,0,0,0,0.0,38.1,18,13,0,2,0,0,0,Williams,Josh,CLB
2688,Russell Teibert,VAN,M,24,19,1777,2,9,29,7,1,2,0,0.1,6.9,2013,REG,2,5,4,0.46,24.1,16,23,3,4,0,0,0,Teibert,Russell,VAN
2689,Sheanon Williams,PHI,D,32,32,2867,2,8,14,3,0,2,0,0.06,14.3,2013,REG,3,5,3,0.25,21.4,42,42,0,6,1,0,0,Williams,Sheanon,PHI
2690,Joel Lindpere,CHI,M,25,17,1444,2,8,18,6,1,2,0,0.12,11.1,2013,REG,1,3,5,0.5,33.3,13,17,2,2,0,0,0,Lindpere,Joel,CHI
2691,Justin Mapp,MTL,M,27,25,2137,2,8,34,15,0,0,2,0.08,5.9,2013,REG,2,7,1,0.34,44.1,21,43,2,2,0,0,0,Mapp,Justin,MTL
2692,Shea Salinas,SJ,M,28,24,1982,2,8,35,16,1,2,0,0.09,5.7,2013,REG,4,5,3,0.36,45.7,21,30,4,1,0,0,0,Salinas,Shea,SJ
2693,Fabian Castillo,DAL,M-F,33,26,2176,2,6,45,16,2,2,0,0.08,4.4,2013,REG,1,2,4,0.25,35.6,30,21,17,7,0,0,0,Castillo,Fabian,DAL
2694,Daigo Kobayashi,VAN,M,30,21,1651,2,4,18,6,0,1,1,0.11,11.1,2013,REG,1,1,3,0.22,33.3,15,24,1,1,0,0,0,Kobayashi,Daigo,VAN
2695,Sam Cronin,MIN,M,34,34,2971,2,4,28,7,1,1,1,0.06,7.1,2013,REG,2,4,0,0.12,25.0,48,25,0,4,0,0,0,Cronin,Sam,MIN
2696,Jeff Larentowicz,ATL,M,32,31,2807,2,4,45,13,2,1,1,0.06,4.4,2013,REG,2,4,0,0.13,28.9,47,30,1,6,1,0,0,Larentowicz,Jeff,ATL
2697,Daniel Paladini,CHI,M,20,7,823,2,3,12,6,0,2,0,0.22,16.7,2013,REG,1,2,1,0.33,50.0,11,9,2,5,1,0,0,Paladini,Daniel,CHI
2698,Chance Myers,POR,D,27,26,2383,2,3,24,7,0,2,0,0.08,8.3,2013,REG,2,1,2,0.11,29.2,38,24,1,3,0,0,0,Myers,Chance,POR
2699,Carlos Alvarez,CHV,M,29,26,2182,2,3,35,10,0,1,1,0.08,5.7,2013,REG,0,1,2,0.12,28.6,24,22,4,5,0,0,0,Alvarez,Carlos,CHV
2700,Chris Pontius,LA,M-F,22,19,1754,2,3,40,11,1,2,0,0.1,5.0,2013,REG,0,3,0,0.15,27.5,21,44,8,0,0,1,1,Pontius,Chris,LA
2701,Chad Barrett,NE,F,19,8,622,2,2,11,5,0,1,1,0.29,18.2,2013,REG,0,2,0,0.29,45.5,5,8,1,1,0,0,0,Barrett,Chad,NE
2702,Justin Braun,TOR,F,21,8,779,2,2,12,5,0,1,1,0.23,16.7,2013,REG,0,2,0,0.23,41.7,22,15,9,4,0,0,0,Braun,Justin,TOR
2703,Jeb Brovsky,MTL,D,30,29,2610,2,2,14,6,0,1,1,0.07,14.3,2013,REG,0,2,0,0.07,42.9,21,14,1,5,0,0,0,Brovsky,Jeb,MTL
2704,Walter Martinez,HON,M,15,10,919,2,2,16,5,1,2,0,0.2,12.5,2013,REG,1,2,0,0.2,31.3,15,30,5,1,0,0,0,Martinez,Walter,UNK
2705,Andres Romero,MTL,M,30,20,1672,2,2,18,7,1,1,1,0.11,11.1,2013,REG,1,1,1,0.11,38.9,27,31,2,4,0,0,0,Romero,Andres,MTL
2706,Maicon Santos,CHI,F,15,1,379,2,2,20,5,1,2,0,0.47,10.0,2013,REG,0,2,0,0.47,25.0,7,7,6,1,0,0,0,Santos,Maicon,CHI
2707,Je-Vaughn Watson,DAL,D,24,15,1372,2,2,20,10,1,2,0,0.13,10.0,2013,REG,0,1,1,0.13,50.0,26,17,3,4,1,0,0,Watson,Je-Vaughn,DAL
2708,Dom Dwyer,OCS,F,16,7,674,2,2,28,7,1,2,0,0.27,7.1,2013,REG,0,1,1,0.27,25.0,14,15,3,0,0,0,0,Dwyer,Dom,ORL
2709,Tristan Bowen,CHV,F,22,15,1173,2,2,32,7,0,1,1,0.15,6.3,2013,REG,1,2,0,0.15,21.9,23,19,1,6,1,0,0,Bowen,Tristan,CHV
2710,Blake Smith,MTL,M,16,0,276,2,1,7,3,1,2,0,0.65,28.6,2013,REG,1,1,0,0.33,42.9,2,5,0,1,0,0,0,Smith,Blake,MTL
2711,Brian Carroll,PHI,M,33,33,2969,2,1,16,5,1,2,0,0.06,12.5,2013,REG,0,1,0,0.03,31.3,40,14,2,6,0,0,0,Carroll,Brian,PHI
2712,Conor Doyle,DC,F,14,8,805,2,1,23,11,1,1,1,0.22,8.7,2013,REG,0,1,0,0.11,47.8,3,9,4,0,0,0,0,Doyle,Conor,DC
2713,Andrew Wiedeman,TOR,F,14,9,821,2,1,25,5,1,2,0,0.22,8.0,2013,REG,0,1,0,0.11,20.0,5,6,6,0,0,0,0,Wiedeman,Andrew,TOR
2714,Daniele Paponi,MTL,F,16,8,800,2,1,29,11,0,2,0,0.23,6.9,2013,REG,0,1,0,0.11,37.9,9,16,11,2,0,0,0,Paponi,Daniele,MTL
2715,Hendry Thomas,COL,M,27,27,2301,2,1,33,5,1,2,0,0.08,6.1,2013,REG,0,1,0,0.04,15.2,59,35,0,7,0,1,1,Thomas,Hendry,COL
2716,Juan Luis Anangono,CHI,F,13,9,839,2,1,34,10,0,1,1,0.21,5.9,2013,REG,1,0,1,0.11,29.4,23,12,7,1,0,0,0,Luis Anangono,Juan,CHI
2717,Jose Villarreal,OCS,F,22,12,1109,2,1,37,12,0,1,1,0.16,5.4,2013,REG,0,0,1,0.08,32.4,22,20,1,0,0,0,0,Villarreal,Jose,ORL
2718,Nick DeLeon,DC,D,25,23,1912,2,1,37,13,0,1,1,0.09,5.4,2013,REG,0,0,1,0.05,35.1,13,18,5,2,0,0,0,DeLeon,Nick,DC
2719,Ibrahim Sekagya,NY,D,8,8,702,2,0,3,2,0,1,1,0.26,66.7,2013,REG,0,0,0,0.0,66.7,11,5,0,1,1,0,0,Sekagya,Ibrahim,NY
2720,Walker Zimmerman,LFC,D,7,4,411,2,0,4,3,0,1,1,0.44,50.0,2013,REG,0,0,0,0.0,75.0,2,1,0,0,0,0,0,Zimmerman,Walker,LAFC
2721,Bryan de la Fuente,CHV,F,11,11,884,2,0,8,3,0,2,0,0.2,25.0,2013,REG,0,0,0,0.0,37.5,18,12,2,0,0,0,0,de la Fuente,Bryan,CHV
2722,José Gonçalves,NE,D,34,34,3060,2,0,9,6,2,0,2,0.06,22.2,2013,REG,0,0,0,0.0,66.7,32,38,2,3,0,0,0,Gonçalves,José,NE
2723,George John,DAL,D,24,24,2070,2,0,13,5,1,2,0,0.09,15.4,2013,REG,0,0,0,0.0,38.5,27,22,0,3,0,0,0,John,George,DAL
2724,Jared Jeffrey,DC,M,10,10,796,2,0,16,5,0,1,1,0.23,12.5,2013,REG,0,0,0,0.0,31.3,24,6,1,3,0,0,0,Jeffrey,Jared,DC
2725,Julio Morales,CHV,F,17,9,768,2,0,17,8,0,1,1,0.23,11.8,2013,REG,0,0,0,0.0,47.1,14,16,4,2,0,0,0,Morales,Julio,CHV
2726,Lionard Pajoy,DC,F,20,11,1130,2,0,21,5,1,2,0,0.16,9.5,2013,REG,0,0,0,0.0,23.8,26,15,23,2,0,0,0,Pajoy,Lionard,DC
2727,Cam Weaver,HOU,F,22,6,709,2,0,21,5,0,2,0,0.25,9.5,2013,REG,0,0,0,0.0,23.8,22,15,8,1,0,0,0,Weaver,Cam,HOU
2728,Peguy Luyindula,NY,F,22,9,863,1,7,21,12,0,1,0,0.1,4.8,2013,REG,3,4,3,0.73,57.1,8,15,9,1,0,1,1,Luyindula,Peguy,NY
2729,Davy Arnaud,MTL,M,24,21,1766,1,5,13,6,1,0,1,0.05,7.7,2013,REG,1,3,2,0.25,46.2,34,43,3,5,0,0,0,Arnaud,Davy,MTL
2730,Chris Tierney,NE,D-M,29,26,2352,1,5,19,3,0,1,0,0.04,5.3,2013,REG,2,3,2,0.19,15.8,15,14,0,2,0,1,1,Tierney,Chris,NE
2731,Frederic Piquionne,POR,F,21,7,783,1,5,30,9,1,1,0,0.11,3.3,2013,REG,1,1,4,0.57,30.0,20,13,12,0,0,0,0,Piquionne,Frederic,POR
2732,Perry Kitchen,LA,M,31,31,2773,1,4,10,3,0,1,0,0.03,10.0,2013,REG,0,2,2,0.13,30.0,42,43,1,6,0,0,0,Kitchen,Perry,LA
2733,Vicente Sanchez,HOU,F,8,7,623,1,4,12,5,0,1,0,0.14,8.3,2013,REG,3,3,1,0.58,41.7,10,11,1,0,0,0,0,Sanchez,Vicente,HOU
2734,Edgar Mejia,CHV,M,28,27,2266,1,4,12,4,0,0,1,0.04,8.3,2013,REG,1,2,2,0.16,33.3,16,23,1,2,1,0,1,Mejia,Edgar,CHV
2735,Sean Franklin,LA,D,33,29,2736,1,4,15,3,1,1,0,0.03,6.7,2013,REG,0,3,1,0.13,20.0,29,22,1,3,0,0,0,Franklin,Sean,LA
2736,Jorge Villafaña,USA,D-M,20,15,1432,1,4,16,2,0,1,0,0.06,6.3,2013,REG,1,2,2,0.25,12.5,13,21,3,2,0,0,0,Villafaña,Jorge,UNK
2737,Nigel Reo-Coker,VAN,M,32,31,2817,1,4,17,5,0,0,1,0.03,5.9,2013,REG,1,4,0,0.13,29.4,62,39,1,9,0,0,0,Reo-Coker,Nigel,VAN
2738,Bobby Convey,KC,M,24,22,1908,1,4,17,3,0,0,1,0.05,5.9,2013,REG,1,4,0,0.19,17.6,22,32,4,4,0,0,0,Convey,Bobby,KC
2739,Juninho,LA,M,32,32,2770,1,4,50,14,0,1,0,0.03,2.0,2013,REG,1,3,1,0.13,28.0,42,32,2,6,0,0,0,,Juninho,LA
2740,Steven Beitashour,LFC,D,27,27,2426,1,3,5,1,0,0,1,0.04,20.0,2013,REG,2,2,1,0.11,20.0,23,22,0,0,0,0,0,Beitashour,Steven,LAFC
2741,Ramon Nunez,DAL,M,10,0,253,1,3,11,3,0,0,1,0.36,9.1,2013,REG,1,2,1,1.07,27.3,2,4,0,0,0,0,0,Nunez,Ramon,DAL
2742,Jalil Anibaba,HOU,D,34,34,3060,1,3,16,7,1,0,1,0.03,6.3,2013,REG,2,2,1,0.09,43.8,15,13,2,3,0,0,0,Anibaba,Jalil,HOU
2743,Martin Rivero,COL,M,16,6,705,1,3,16,5,0,0,1,0.13,6.3,2013,REG,0,2,1,0.38,31.3,9,17,2,1,0,0,0,Rivero,Martin,COL
2744,José Adolfo Valencia,POR,F,21,5,636,1,3,20,6,0,0,1,0.14,5.0,2013,REG,0,2,1,0.42,30.0,16,11,5,1,0,0,0,Adolfo Valencia,José,POR
2745,Andrew Wenger,HOU,M,24,8,853,1,3,24,8,1,1,0,0.11,4.2,2013,REG,0,2,1,0.32,33.3,17,9,7,1,0,0,0,Wenger,Andrew,HOU
2746,Nick LaBrocca,COL,M,24,16,1214,1,3,27,10,0,1,0,0.07,3.7,2013,REG,1,2,1,0.22,37.0,13,12,1,3,0,0,0,LaBrocca,Nick,COL
2747,Jeremy Brockie,TOR,F-M,15,11,1072,1,3,31,12,0,1,0,0.08,3.2,2013,REG,0,3,0,0.25,38.7,18,16,10,1,0,0,0,Brockie,Jeremy,TOR
2748,Justin Morrow,TOR,M,26,21,1937,1,2,7,1,0,0,1,0.05,14.3,2013,REG,0,1,1,0.09,14.3,16,14,1,1,1,0,0,Morrow,Justin,TOR
2749,Ben Zemanski,POR,M,25,9,989,1,2,8,2,0,0,1,0.09,12.5,2013,REG,0,2,0,0.18,25.0,21,6,0,5,1,0,0,Zemanski,Ben,POR
2750,Fabinho,PHI,D,14,10,980,1,2,9,1,0,0,1,0.09,11.1,2013,REG,0,2,0,0.18,11.1,10,18,0,0,1,0,0,,Fabinho,PHI
2751,Nat Borchers,RSL,D,28,28,2520,1,2,9,4,0,0,1,0.04,11.1,2013,REG,0,0,2,0.07,44.4,13,16,2,1,0,0,0,Borchers,Nat,RSL
2752,Andy Rose,SEA,M,18,9,888,1,2,10,4,0,1,0,0.1,10.0,2013,REG,2,2,0,0.2,40.0,17,4,0,2,0,0,0,Rose,Andy,SEA
2753,DeAndre Yedlin,USA,D,31,30,2710,1,2,13,4,0,1,0,0.03,7.7,2013,REG,0,1,1,0.07,30.8,35,27,4,2,1,0,0,Yedlin,DeAndre,UNK
2754,Austin Berry,CHI,D,34,34,3060,1,2,14,5,1,1,0,0.03,7.1,2013,REG,1,1,1,0.06,35.7,17,16,0,2,0,0,0,Berry,Austin,CHI
2755,Jack McBean,COL,F,15,7,554,1,2,19,8,0,1,0,0.16,5.3,2013,REG,0,0,2,0.32,42.1,6,17,1,0,0,0,0,McBean,Jack,COL
2756,Cordell Cato,SJ,F,20,10,1030,1,2,19,5,0,0,1,0.09,5.3,2013,REG,0,0,2,0.17,26.3,13,19,1,0,0,0,0,Cato,Cordell,SJ
2757,Omar Gonzalez,USA,D,27,27,2368,1,2,19,4,1,1,0,0.04,5.3,2013,REG,0,2,0,0.08,21.1,17,14,0,2,0,0,0,Gonzalez,Omar,UNK
2758,Jose Kleberson,PHI,M,11,7,532,1,2,24,4,1,1,0,0.17,4.2,2013,REG,0,0,2,0.34,16.7,6,6,1,1,0,0,0,Kleberson,Jose,PHI
2759,Oriol Rosell,KC,M,31,31,2691,1,2,24,5,1,0,1,0.03,4.2,2013,REG,0,2,0,0.07,20.8,66,34,0,10,0,0,0,Rosell,Oriol,KC
2760,Hunter Jumper,CHI,D,2,2,180,1,1,2,1,1,1,0,0.5,50.0,2013,REG,0,1,0,0.5,50.0,5,0,0,1,0,0,0,Jumper,Hunter,CHI
2761,Maxim Tissot,MTL,D,6,3,303,1,1,2,2,0,0,1,0.3,50.0,2013,REG,0,1,0,0.3,100.0,2,2,1,1,0,0,0,Tissot,Maxim,MTL
2762,Michael Stephens,LA,M,21,8,775,1,1,3,1,0,0,1,0.12,33.3,2013,REG,0,1,0,0.12,33.3,9,3,0,0,0,0,0,Stephens,Michael,LA
2763,Matias Sanchez,CLB,M,14,10,820,1,1,6,1,1,1,0,0.11,16.7,2013,REG,0,0,1,0.11,16.7,32,12,0,5,0,0,0,Sanchez,Matias,CLB
