,Player,Club,POS,GP,GS,MINS,G,A,SHTS,SOG,GWG,HmG,RdG,Gp90,SCpct,Year,Season,GWA,HmA,RdA,Ap90,SOGpct,FC,FS,OFF,YC,RC,PKG,PKA,First Name,Last Name,Club_Dup,Last Name_Dup,First Name_Dup,POS_Dup,Base Salary,Guaranteed Compensation
2437,Aaron Horton,CLB,F,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2012,REG,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Aaron,Horton,CLB,Horton,Aaron,F,55000.0,70500.0
2438,Dicoy Williams,TOR,D,2.0,1.0,86.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2012,REG,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,Dicoy,Williams,TFC,Williams,Dicoy,D,52500.0,52500.0
2439,Dicoy Williams,TOR,D,2.0,1.0,86.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2012,REG,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,Dicoy,Williams,TOR,Williams,Dicoy,D,52500.0,52500.0
2440,Pari Pantazopoulos,CHI,M,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2012,REG,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Pari,Pantazopoulos,,,,,,
2441,Josh Janniere,COL,M,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2012,REG,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Josh,Janniere,,,,,,
2442,Jimmy McLaughlin,PHI,M,1.0,0.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2012,REG,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Jimmy,McLaughlin,,,,,,
2443,Porfirio López,PHI,D,5.0,4.0,327.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2012,REG,0.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,Porfirio,López,,,,,,
2444,Josh Suggs,SJ ,D,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2012,REG,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Josh,Suggs,SJ,Suggs,Josh,D,33756.0,33756.0
2445,Luis Perea,DAL,D,2.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2012,REG,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Luis,Perea,,,,,,
2446,Scott Gordon,CHV,D,3.0,0.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2012,REG,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,Scott,Gordon,CHV,Gordon,Scott,D,44000.0,44000.04
2447,Tiago Ulisses,VAN,M,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2012,REG,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Tiago,Ulisses,VAN,Ulisses,Tiago,M,90000.0,103852.5
2448,Raphael Augusto,DC ,M,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2012,REG,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Raphael,Augusto,DC,Augusto,Raphael,M,44004.0,44004.0
2449,Leone Cruz,RSL,D,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2012,REG,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Leone,Cruz,RSL,Cruz,Leone,D,44000.0,44000.04
2450,Harrison Henao,COL,M,1.0,0.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2012,REG,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Harrison,Henao,COL,Henao,Harrison,M,44004.0,44004.0
2451,Sebastián Rincón,POR,F,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2012,REG,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Sebastián,Rincón,,,,,,
2452,Daniel Steres ,LA,D,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2012,REG,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Daniel,Steres ,,,,,,
2453,Alex Lee,DAL,D,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2012,REG,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Alex,Lee,DAL,Lee,Alex,D,33756.0,33756.0
2454,John Lozano,NE ,D,2.0,2.0,155.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2012,REG,0.0,0.0,0.0,0.0,0.0,3.0,2.0,0.0,1.0,0.0,0.0,0.0,John,Lozano,NE,Lozano,John,D,200000.0,241485.08
2455,Kellen Gulley,CHI,F,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2012,REG,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Kellen,Gulley,CHI,Gulley,Kellen,F,55000.0,69000.0
2456,Jose Angulo,NY ,F,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2012,REG,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Jose,Angulo,NY,Angulo,Jose,F,33750.0,33750.0
2457,Jhonny Arteaga,NY ,F,5.0,0.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2012,REG,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Jhonny,Arteaga,NY,Arteaga,Jhonny,F,44000.0,44000.0
2458,Ryan Maduro,NY ,M,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2012,REG,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Ryan,Maduro,NY,Maduro,Ryan,M,44000.0,44000.04
2459,Eduardo Sebrango,MTL,F,7.0,1.0,120.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2012,REG,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,0.0,0.0,0.0,0.0,Eduardo,Sebrango,MTL,Sebrango,Eduardo,F,44000.0,44000.0
2460,Marvin Iraheta,CHV,M,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2012,REG,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Marvin,Iraheta,CHV,Iraheta,Marvin,M,33750.0,33750.0
2461,Caleb Clarke,VAN,F,2.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2012,REG,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Caleb,Clarke,VAN,Clarke,Caleb,F,44000.0,44000.04
2462,Karl Ouimette,MTL,D,2.0,0.0,66.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2012,REG,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Karl,Ouimette,MTL,Ouimette,Karl,D,33750.0,33750.0
2463,Shane O'Neill,COL,D,1.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2012,REG,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Shane,O'Neill,COL,O'Neill,Shane,M,44004.0,55504.0
2464,Michael Roach,NE ,F,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2012,REG,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Michael,Roach,NE,Roach,Michael,F,33756.0,33756.0
2465,Krystian Witkowski ,PHI,F,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2012,REG,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Krystian,Witkowski ,,,,,,
2466,Ryan Kawulok,POR,D,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2012,REG,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Ryan,Kawulok,POR,Kawulok,Ryan,M,33750.0,33750.0
2467,Cesar Diaz Pizarro,SJ ,F,1.0,0.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2012,REG,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,Cesar,Diaz Pizarro,,,,,,
2468,Kyle Miller,KC ,M,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2012,REG,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Kyle,Miller,KC,Miller,Kyle,M,33750.0,33750.0
2469,Greg Klazura ,VAN,D-M,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2012,REG,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Greg,Klazura ,,,,,,
2470,Charles Renken,POR,M,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2012,REG,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Charles,Renken,POR,Renken,Charles,M,33750.0,33750.0
2471,Cyprian Hedrik,KC ,D,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2012,REG,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Cyprian,Hedrik,,,,,,
2472,Jacob Hustedt,SJ ,M,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2012,REG,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Jacob,Hustedt,SJ,Hustedt,Jacob,M,33756.0,33756.0
2473,Kenney Walker,LA ,M,1.0,1.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2012,REG,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Kenney,Walker,LA,Walker,Kenney,M,33750.0,33750.0
2474,Tony Walls,CHI,D,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2012,REG,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Tony,Walls,CHI,Walls,Tony,M,33750.0,33750.0
2475,Kohei Yamada,COL,M,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2012,REG,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Kohei,Yamada,COL,Yamada,Kohei,M,33750.0,33750.0
2476,Lance Rozeboom ,DC ,M,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2012,REG,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Lance,Rozeboom ,,,,,,
2477,Enzo Martinez,RSL,M,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2012,REG,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Enzo,Martinez,RSL,Martinez,Enzo,M,65000.0,91000.0
2478,Colin Rolfe ,HOU,F,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2012,REG,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Colin,Rolfe ,,,,,,
2479,Tyler Polak,NE ,D,1.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2012,REG,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,Tyler,Polak,NE,Polak,Tyler,D,60000.0,73000.0
2480,Shawn Singh,KC ,D,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2012,REG,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Shawn,Singh,KC,Singh,Shawn,D,33750.0,33750.0
2481,Babayele Sodade,SEA,F,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2012,REG,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Babayele,Sodade,SEA,Sodade,Babayele,F,33756.0,33756.0
2482,Diogo de Almeida,RSL,D,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2012,REG,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Diogo,de Almeida,,,,,,
2483,Gienir García,MTL,D,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2012,REG,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Gienir,García,,,,,,
2484,Rafael Garcia ,LA ,D,1.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2012,REG,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Rafael,Garcia ,,,,,,
2485,Evan James,MTL,F,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2012,REG,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Evan,James,MTL,James,Evan,M,33750.0,33750.0
2486,Greg Jordan,PHI,M,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2012,REG,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Greg,Jordan,PHI,Jordan,Greg,M,44000.0,44000.0
2487,Hunter Jumper,CHI,D,5.0,0.0,48.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2012,REG,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,Hunter,Jumper,CHI,Jumper,Hunter,D,33750.0,33750.0
2488,Tommy Meyer,LA ,D,8.0,7.0,660.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2012,REG,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,Tommy,Meyer,LA,Meyer,Tommy,D,44000.0,57750.0
2489,Aubrey Perry,CLB,D,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2012,REG,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Aubrey,Perry,CLB,Perry,Aubrey,D,33750.0,33750.0
2490,Nico Muñiz,RSL,M,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2012,REG,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Nico,Muñiz,,,,,,
2491,Bryce Alderson,VAN,M,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2012,REG,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Bryce,Alderson,VAN,Alderson,Bryce,M,60000.0,75000.0
2492,José Adolfo Valencia,POR,F,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2012,REG,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,José,Adolfo Valencia,,,,,,
2493,Ian Hogg,POR,D,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2012,REG,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Ian,Hogg,POR,Hogg,Ian,D,44000.0,44000.04
2494,Jonathan Borrajo,NY ,D,1.0,0.0,74.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2012,REG,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Jonathan,Borrajo,NY,Borrajo,Jonathan,M-D,44000.0,44000.0
2495,Andrew Duran,SEA,D,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2012,REG,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Andrew,Duran,SEA,Duran,Andrew,D,37166.666666666664,37166.666666666664
2496,Chris Estridge,RSL,D,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2012,REG,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Chris,Estridge,RSL,Estridge,Chris,D,33750.0,33750.0
2497,Stephen Keel,NY ,D,9.0,6.0,501.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2012,REG,0.0,0.0,0.0,0.0,0.0,3.0,2.0,1.0,1.0,0.0,0.0,0.0,Stephen,Keel,NY,Keel,Stephen,D,65000.0,65000.0
2498,Bobby Burling,CHV,D,3.0,3.0,270.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2012,REG,0.0,0.0,0.0,0.0,0.0,8.0,3.0,0.0,1.0,0.0,0.0,0.0,Bobby,Burling,CHV,Burling,Bobby,D,48000.0,51333.33
2499,Shavar Thomas,MTL,D,15.0,13.0,1255.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2012,REG,0.0,0.0,0.0,0.0,0.0,8.0,4.0,0.0,2.0,0.0,0.0,0.0,Shavar,Thomas,MTL,Thomas,Shavar,D,80000.0,94666.67
2500,Anthony Wallace,COL,D,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2012,REG,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Anthony,Wallace,COL,Wallace,Anthony,D-M,63394.0,63394.0
2501,Sainey Nyassi,NE ,M,1.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2012,REG,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Sainey,Nyassi,NE,Nyassi,Sainey,M,84000.0,90750.0
2502,Kheli Dube,CHI,F,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2012,REG,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Kheli,Dube,CHI,Dube,Kheli,F,70000.0,76333.33
2503,Bryan Jordan,LA ,D,8.0,4.0,405.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2012,REG,0.0,0.0,0.0,0.0,0.0,4.0,2.0,1.0,0.0,0.0,0.0,0.0,Bryan,Jordan,LA,Jordan,Bryan,F,55000.0,55000.0
2504,Michael Videira,CHI,M,3.0,0.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2012,REG,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,Michael,Videira,CHI,Videira,Michael,M,44100.0,44725.0
2505,Marcus Tracy,SJ ,F,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2012,REG,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Marcus,Tracy,SJ,Tracy,Marcus,F,44000.0,44000.04
2506,Jose Recio,HOU,D,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2012,REG,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Jose,Recio,,,,,,
2507,Ellis McLoughlin,SJ ,F,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2012,REG,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Ellis,McLoughlin,SJ,McLoughlin,Ellis,F,44000.0,44000.0
2508,Christian Sivebaek,SEA,M,3.0,1.0,88.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2012,REG,0.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,1.0,0.0,0.0,0.0,Christian,Sivebaek,SEA,Sivebaek,Christian,M,99996.0,99996.0
2509,Dom Dwyer,OCS,F,1.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2012,REG,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Dom,Dwyer,KC,Dwyer,Dom,F,60000.0,72500.0
2510,O'Brian White,SEA,F,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2012,REG,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,O'Brian,White,SEA,White,O'Brian,F,110000.0,110000.0
2511,Brad Ring,SJ ,D,2.0,1.0,76.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2012,REG,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,Brad,Ring,SJ,Ring,Brad,M,44100.0,44100.0
2512,Jean-Marc Alexandre,HAI,F,2.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2012,REG,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,Jean-Marc,Alexandre,,,,,,
2513,Amadou Sanyang,SEA,D,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2012,REG,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Amadou,Sanyang,,,,,,
2514,Scott Palguta,COL,D,2.0,1.0,116.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2012,REG,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Scott,Palguta,COL,Palguta,Scott,D,63670.0,63670.0
2515,Edward Johnson,POR,F,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2012,REG,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Edward,Johnson,,,,,,
2516,Björn Runström,NE ,F,3.0,0.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2012,REG,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Björn,Runström,,,,,,
2517,Pablo Mastroeni,COL,M,2.0,2.0,150.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2012,REG,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,Pablo,Mastroeni,COL,Mastroeni,Pablo,M-D,240000.0,245000.0
2518,Alessandro Nesta,MTL,D,8.0,8.0,633.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2012,REG,0.0,0.0,0.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,Alessandro,Nesta,MTL,Nesta,Alessandro,D,180000.0,225000.0
2519,Kurt Morsink,DC ,M,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2012,REG,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Kurt,Morsink,DC,Morsink,Kurt,M,44000.0,44666.67
2520,Tim Ward,SJ ,D,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2012,REG,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Tim,Ward,SJ,Ward,Tim,D,65000.0,65000.0
2521,Jed Zayner,SJ ,D,1.0,1.0,72.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2012,REG,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,Jed,Zayner,SJ,Zayner,Jed,D,60000.0,61666.67
2522,Bryan Arguez,MTL,M,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2012,REG,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Bryan,Arguez,MTL,Arguez,Bryan,D/M,65000.0,65000.0
2523,Floyd Franks,VAN,M,2.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2012,REG,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Floyd,Franks,VAN,Franks,Floyd,M,44000.0,44000.0
2524,Bakary Soumare,PHI,D,1.0,1.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2012,REG,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,Bakary,Soumare,PHI,Soumare,Bakary,D,240000.0,280000.0
2525,Etienne Barbara,VAN,F,2.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2012,REG,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,Etienne,Barbara,VAN,Barbara,Etienne,F,87500.0,87500.0
2526,Andrew Boyens,LA ,D,2.0,2.0,180.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2012,REG,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,Andrew,Boyens,LA,Boyens,Andrew,D,62500.0,65783.33
2527,Guillermo Franco,CHI,F,3.0,0.0,43.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2012,REG,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,Guillermo,Franco,CHI,Franco,Guillermo,F,174000.0,174000.0
2528,Atiba Harris,VAN,D,7.0,3.0,253.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2012,REG,0.0,0.0,0.0,0.0,0.0,12.0,6.0,3.0,1.0,0.0,0.0,0.0,Atiba,Harris,VAN,Harris,Atiba,M-F,150000.0,158275.0
