,Player,Club,POS,GP,GS,MINS,G,A,SHTS,SOG,GWG,PKG/A,HmG,RdG,G/90min,SC%,Year,Season,GWA,HmA,RdA,A/90min,SOG%,FC,FS,OFF,YC,RC,Club_Dup,Last Name,First Name,POS_Dup,Base Salary,Guaranteed Compensation,Date
3791,Aurélien Collin,NY,D,28,27,2407,2,1,10,3,0,0/0,2,0,0.07,20.0,2015,REG,0,0,1,0.04,30.0,36,30,5,2,1,,,,,,,
3792,Adrian Winter,ORL,M-F,9,7,600,2,1,11,5,0,0/0,2,0,0.30,18.2,2015,REG,1,1,0,0.15,45.5,15,13,0,2,1,ORL,Winter,Adrian,M,"$180,000","$198,333.33",2015-09-15
3793,Diego Chara,POR,M,28,28,2479,2,1,11,7,1,0/0,1,1,0.07,18.2,2015,REG,0,1,0,0.04,63.6,63,48,0,8,1,POR,Chara,Diego,M,"$170,000","$170,000.00",2015-09-15
3794,Leonel Miranda,HOU,M,20,11,1015,2,1,14,6,0,0/0,2,0,0.18,14.3,2015,REG,0,0,1,0.09,42.9,11,20,1,3,0,HOU,Miranda,Leonel,M,"$60,000","$60,000.00",2015-09-15
3795,Victor Ulloa,DAL,M,33,33,2915,2,1,14,5,1,0/0,1,1,0.06,14.3,2015,REG,0,0,1,0.03,35.7,41,19,0,4,0,DAL,Ulloa,Victor,M,"$60,000","$60,000.00",2015-09-15
3796,Damien Perrinelle,NY,D,28,27,2410,2,1,16,4,0,0/0,0,2,0.07,12.5,2015,REG,1,1,0,0.04,25.0,42,20,1,11,0,NY,Perrinelle,Damien,D,"$132,000","$132,000.00",2015-09-15
3797,Marcelo Sarvas,COL,M,25,21,1869,2,1,20,6,0,0/0,1,1,0.10,10.0,2015,REG,0,0,1,0.05,30.0,31,33,0,4,0,COL,Sarvas,Marcelo,M,"$360,000","$425,000.00",2015-09-15
3798,Zach Pfeffer,PHI,M,21,11,988,2,1,27,10,1,0/0,2,0,0.18,7.4,2015,REG,0,0,1,0.09,37.0,17,13,1,0,1,PHI,Pfeffer,Zach,M,"$60,000","$60,000.00",2015-09-15
3799,Olmes Garcia,RSL,F,33,15,1542,2,1,32,15,1,0/0,2,0,0.12,6.3,2015,REG,0,1,0,0.06,46.9,29,34,10,4,0,RSL,Garcia,Olmes,F,"$130,000","$130,000.00",2015-09-15
3800,Robert Earnshaw,VAN,F,9,0,43,2,0,2,2,1,0/0,2,0,4.19,100.0,2015,REG,0,0,0,0.00,100.0,1,1,0,0,0,VAN,Earnshaw,Robert,F,"$100,000","$100,000.00",2015-09-15
3801,Anthony Wallace,NYR,D,6,6,540,2,0,5,2,0,0/0,2,0,0.33,40.0,2015,REG,0,0,0,0.00,40.0,6,6,1,1,0,NY,Wallace,Anthony,M-D,"$60,000","$60,000.00",2015-09-15
3802,Ike Opara,SKC,D,6,6,534,2,0,7,2,1,0/0,1,1,0.34,28.6,2015,REG,0,0,0,0.00,28.6,6,4,0,0,0,KC,Opara,Ike,D,"$115,000","$121,250.00",2015-09-15
3803,Bobby Burling,COL,D,22,22,1958,2,0,9,3,0,0/0,2,0,0.09,22.2,2015,REG,0,0,0,0.00,33.3,32,22,1,9,1,COL,Burling,Bobby,D,"$132,500","$140,000.00",2015-09-15
3804,Wandrille Lefevre,MTL,D,11,11,990,2,0,9,4,0,0/0,1,1,0.18,22.2,2015,REG,0,0,0,0.00,44.4,9,3,0,1,0,MTL,Lefevre,Wandrille,M,"$60,000","$60,000.00",2015-09-15
3805,Alex,CHI,M,16,9,827,2,0,12,3,1,0/0,2,0,0.22,16.7,2015,REG,0,0,0,0.00,25.0,12,13,0,1,0,,,,,,,
3806,Raul Rodriguez,HOU,D,27,27,2364,2,0,13,4,0,0/0,2,0,0.08,15.4,2015,REG,0,0,0,0.00,30.8,34,13,0,7,1,HOU,Rodriguez,Raul,D,"$325,000","$354,333.33",2015-09-15
3807,Anibal Godoy,SJ,M,10,10,894,2,0,14,4,1,0/0,1,1,0.20,14.3,2015,REG,0,0,0,0.00,28.6,23,24,0,5,0,SJ,Godoy,Anibal,M,"$204,000","$204,000.00",2015-09-15
3808,Steve Birnbaum,DC,D,22,21,1822,2,0,14,5,0,0/0,1,1,0.10,14.3,2015,REG,0,0,0,0.00,35.7,29,21,2,5,0,,,,,,,
3809,Conor Doyle,DC ,F,25,10,1148,2,0,16,7,1,0/0,1,1,0.16,12.5,2015,REG,0,0,0,0.00,43.8,33,9,2,5,0,DC,Doyle,Conor,F,"$60,000","$61,250.00",2015-09-15
3810,Dominique Badji,COL,M,15,9,812,2,0,18,7,1,0/0,0,2,0.22,11.1,2015,REG,0,0,0,0.00,38.9,24,8,14,1,0,COL,Badji,Dominique,F,"$50,000","$50,000.00",2015-09-15
3811,Bobby Boswell,DC ,D,34,33,2975,2,0,20,4,0,0/0,1,1,0.06,10.0,2015,REG,0,0,0,0.00,20.0,21,14,1,5,0,DC,Boswell,Bobby,D,"$200,000","$200,000.00",2015-09-15
3812,Kendall Waston,VAN,D,28,28,2486,2,0,36,15,1,0/0,2,0,0.07,5.6,2015,REG,0,0,0,0.00,41.7,47,20,3,11,1,VAN,Waston,Kendall,D,"$225,000","$226,250.00",2015-09-15
3813,Cristian Maidana,PHI,M,28,25,2121,1,15,37,18,0,0/0,1,0,0.04,2.7,2015,REG,3,9,6,0.64,48.6,9,9,14,1,1,PHI,Maidana,Cristian,F,"$203,500","$217,250.00",2015-09-15
3814,Dax McCarty,CHI,M,32,32,2777,1,8,18,4,0,0/0,1,0,0.03,5.6,2015,REG,2,5,3,0.26,22.2,35,49,1,6,0,NY,McCarty,Dax,M,"$220,000","$262,500.00",2015-09-15
3815,Jonathan Osorio,TOR,M,29,26,2235,1,7,21,7,0,0/0,0,1,0.04,4.8,2015,REG,2,7,0,0.28,33.3,22,31,4,1,0,TOR,Osorio,Jonathan,M,"$145,000","$152,599.68",2015-09-15
3816,Benoit Cheyrou,TOR,M,28,28,2408,1,7,33,7,0,0/0,0,1,0.04,3.0,2015,REG,3,3,4,0.26,21.2,44,21,1,5,0,TOR,Cheyrou,Benoit,M,"$250,000","$259,333.29",2015-09-15
3817,Rodney Wallace,NYC,F,32,23,1978,1,7,40,12,0,0/0,1,0,0.05,2.5,2015,REG,4,3,4,0.32,30.0,37,18,11,3,0,POR,Wallace,Rodney,M-D,"$165,000","$190,000.00",2015-09-15
3818,Taylor Kemp,DC,D,27,25,2261,1,6,7,2,0,0/0,1,0,0.04,14.3,2015,REG,1,4,2,0.24,28.6,30,19,1,6,0,DC,Kemp,Taylor,D,"$60,000","$60,000.00",2015-09-15
3819,Jorge Villafaña,USA,D-M,33,33,2929,1,5,15,7,0,0/0,1,0,0.03,6.7,2015,REG,2,3,2,0.15,46.7,26,34,4,3,0,,,,,,,
3820,Marco Donadel,MTL,M,25,24,2000,1,5,19,8,0,0/0,1,0,0.05,5.3,2015,REG,3,5,0,0.23,42.1,42,20,0,13,2,MTL,Donadel,Marco,M,"$190,004","$226,670.59",2015-09-15
3821,Stefan Ishizaki,LA ,M,20,19,1629,1,5,25,8,0,0/0,1,0,0.06,4.0,2015,REG,0,2,3,0.28,32.0,17,28,2,3,0,,,,,,,
3822,Luke Boden,ORL,D,25,24,2238,1,4,5,1,0,0/0,0,1,0.04,20.0,2015,REG,1,4,0,0.16,20.0,26,11,2,6,1,ORL,Boden,Luke,D,"$75,000","$75,000.00",2015-09-15
3823,Michel Garbini Pereira,DAL,M-D,18,12,914,1,4,10,4,1,0/0,1,0,0.10,10.0,2015,REG,1,3,1,0.39,40.0,12,15,0,3,0,,,,,,,
3824,Jalil Anibaba,HOU,D,16,14,1265,1,4,11,4,0,0/0,1,0,0.07,9.1,2015,REG,1,4,0,0.28,36.4,10,4,2,1,0,KC,Anibaba,Jalil,D,"$120,000","$150,000.00",2015-09-15
3825,Kemar Lawrence,NY,D,23,23,2000,1,4,12,4,0,0/0,1,0,0.05,8.3,2015,REG,4,3,1,0.18,33.3,23,21,5,2,0,NY,Lawrence,Kemar,D,"$60,000","$60,000.00",2015-09-15
3826,Roger Espinoza,SKC,M,17,17,1484,1,4,19,5,0,0/0,0,1,0.06,5.3,2015,REG,0,2,2,0.24,26.3,28,18,0,3,0,KC,Espinoza,Roger,M,"$750,000","$750,000.00",2015-09-15
3827,Tyrone Mears,MIN,D,33,33,2960,1,3,7,3,1,0/0,1,0,0.03,14.3,2015,REG,1,2,1,0.09,42.9,29,12,1,3,0,SEA,Mears,Tyrone,D,"$165,000","$174,000.00",2015-09-15
3828,Mauro Rosales,VAN,M,24,19,1512,1,3,11,4,0,0/0,1,0,0.06,9.1,2015,REG,1,2,1,0.18,36.4,15,46,3,0,0,VAN,Rosales,Mauro,M,"$215,000","$265,000.00",2015-09-15
3829,Luke Moore,TOR,F,15,6,625,1,3,12,6,0,0/0,1,0,0.14,8.3,2015,REG,2,2,1,0.43,50.0,9,9,2,2,0,TOR,Moore,Luke,F,"$215,000","$235,500.00",2015-09-15
3830,Omar Gonzalez,USA,D,30,29,2577,1,3,13,6,1,0/0,1,0,0.03,7.7,2015,REG,1,3,0,0.10,46.2,34,16,0,3,0,LA,Gonzalez,Omar,D,"$1,200,000","$1,450,000.00",2015-09-15
3831,Robbie Rogers,LA ,D,27,26,2315,1,3,14,5,0,0/0,1,0,0.04,7.1,2015,REG,0,2,1,0.12,35.7,33,27,0,6,0,LA,Rogers,Robbie,F,"$175,000","$191,666.67",2015-09-15
3832,Fabinho,PHI,D,26,23,2106,1,3,14,3,0,0/0,1,0,0.04,7.1,2015,REG,1,2,1,0.13,21.4,32,35,0,3,0,,,,,,,
3833,Tranquillo Barnetta,PHI,M,11,9,765,1,3,19,7,1,0/0,1,0,0.12,5.3,2015,REG,1,1,2,0.35,36.8,14,24,0,2,0,PHI,Barnetta,Tranquillo,M,"$624,000","$661,500.00",2015-09-15
3834,Lucas Melano,POR,F,13,8,725,1,3,27,10,0,0/0,1,0,0.12,3.7,2015,REG,1,2,1,0.37,37.0,18,19,2,4,0,POR,Melano,Lucas,F,"$799,992","$799,992.00",2015-09-15
3835,Lucas Pittinari,COL,M,29,25,2241,1,3,34,5,1,0/0,1,0,0.04,2.9,2015,REG,1,3,0,0.12,14.7,65,17,3,6,0,COL,Pittinari,Lucas,M,"$190,000","$210,000.00",2015-09-15
3836,Juan Ramirez,COL,M,27,15,1459,1,3,41,10,0,0/0,1,0,0.06,2.4,2015,REG,1,0,3,0.19,24.4,22,73,5,3,0,,,,,,,
3837,José Gonçalves,NE ,D,29,28,2480,1,2,6,3,1,0/0,1,0,0.04,16.7,2015,REG,1,0,2,0.07,50.0,33,26,1,4,2,,,,,,,
3838,Ignacio Maganto,LA ,M,13,6,524,1,2,8,3,0,0/0,0,1,0.17,12.5,2015,REG,0,1,1,0.34,37.5,9,10,0,0,0,LA,Maganto,Ignacio,M,"$60,000","$60,000.00",2015-09-15
3839,Brad Evans,SEA,D-M,28,27,2345,1,2,9,4,1,1/1,1,0,0.04,11.1,2015,REG,1,2,0,0.08,44.4,23,23,0,4,0,SEA,Evans,Brad,F,"$276,665","$302,666.25",2015-09-15
3840,Nathan Sturgis,HOU,M,18,15,1292,1,2,9,3,0,0/0,0,1,0.07,11.1,2015,REG,0,2,0,0.14,33.3,18,19,0,2,1,HOU,Sturgis,Nathan,D-M,"$71,250","$75,375.00",2015-09-15
3841,Gonzalo Pineda,SEA,M,28,21,1845,1,2,11,1,0,0/0,0,1,0.05,9.1,2015,REG,0,1,1,0.10,9.1,24,22,0,5,1,SEA,Pineda,Gonzalo,M,"$160,000","$160,000.00",2015-09-15
3842,Cristian Higuita,OCS,M,26,25,2228,1,2,12,1,0,0/0,1,0,0.04,8.3,2015,REG,0,1,1,0.08,8.3,73,82,0,10,1,ORL,Higuita,Cristian,M,"$60,000","$60,000.00",2015-09-15
3843,Jordan Allen,RSL,M-F,23,11,1083,1,2,13,7,1,0/0,1,0,0.08,7.7,2015,REG,1,0,2,0.17,53.8,23,31,1,4,1,RSL,Allen,Jordan,M/F,"$80,000","$90,000.00",2015-09-15
3844,Eric Avila,ORL,M,21,15,1326,1,2,17,3,1,0/0,1,0,0.07,5.9,2015,REG,0,0,2,0.14,17.6,16,16,0,1,0,ORL,Avila,Eric,M,"$72,000","$77,000.00",2015-09-15
3845,Jacob Peterson,ATL,F,26,15,1335,1,2,21,11,0,0/0,0,1,0.07,4.8,2015,REG,0,2,0,0.13,52.4,9,13,4,2,0,KC,Peterson,Jacob,F,"$123,500","$130,375.00",2015-09-15
3846,Andrew Jacobson,NYC,M,33,33,2837,1,2,26,3,0,0/0,1,0,0.03,3.8,2015,REG,0,1,1,0.06,11.5,46,36,2,5,1,NYCFC,Jacobson,Andrew,M,"$150,000","$150,000.00",2015-09-15
3847,Andrew Wenger,HOU,M,26,22,1725,1,2,26,9,1,0/0,1,0,0.05,3.8,2015,REG,0,0,2,0.10,34.6,13,7,6,0,0,PHI,Wenger,Andrew,D/F,"$180,000","$282,000.00",2015-09-15
3848,Dairon Asprilla,POR,M-F,26,10,1008,1,2,27,6,1,0/0,0,1,0.09,3.7,2015,REG,1,2,0,0.18,22.2,27,9,2,1,0,POR,Asprilla,Dairon,F,"$60,000","$60,000.00",2015-09-15
3849,Kyle Beckerman,RSL,M,26,26,2335,1,2,31,9,0,0/0,0,1,0.04,3.2,2015,REG,1,2,0,0.08,29.0,36,21,3,9,0,RSL,Beckerman,Kyle,M,"$625,000","$700,000.00",2015-09-15
3850,Ty Harden,CHI,D,5,4,393,1,1,2,1,1,0/0,1,0,0.23,50.0,2015,REG,0,1,0,0.23,50.0,3,0,0,2,0,CHI,Harden,Ty,D,"$71,663","$75,078.20",2015-09-15
3851,Leonardo González,SEA,D,16,8,712,1,1,3,2,0,0/0,1,0,0.13,33.3,2015,REG,0,1,0,0.13,66.7,16,7,0,1,0,,,,,,,
3852,Warren Creavalle,PHI,M,19,10,896,1,1,4,3,1,0/0,1,0,0.10,25.0,2015,REG,0,0,1,0.10,75.0,20,8,1,4,1,PHI,Creavalle,Warren,D,"$108,500","$119,000.00",2015-09-15
3853,Jared Watts,COL,D-M,13,12,1050,1,1,5,1,1,0/0,1,0,0.09,20.0,2015,REG,1,0,1,0.09,20.0,15,9,0,5,0,COL,Watts,Jared,M,"$60,000","$60,000.00",2015-09-15
3854,Nelson Valdez,SEA,F,7,5,413,1,1,5,1,0,0/0,1,0,0.22,20.0,2015,REG,0,0,1,0.22,20.0,8,15,3,0,0,SEA,Valdez,Nelson,F,"$960,000","$1,215,000.00",2015-09-15
3855,Andreas Ivanschitz,SEA,M,6,5,439,1,1,5,2,1,0/0,0,1,0.21,20.0,2015,REG,0,0,1,0.21,40.0,4,10,1,1,0,SEA,Ivanschitz,Andreas,M,"$180,000","$201,250.00",2015-09-15
3856,Damien Perquis,TOR,D,25,24,2069,1,1,6,2,0,0/0,1,0,0.04,16.7,2015,REG,0,1,0,0.04,33.3,25,16,0,6,0,TOR,Perquis,Damien,D,"$323,000","$372,500.00",2015-09-15
3857,Abdoulie Mansally,RSL,D,19,14,1310,1,1,6,1,0,0/0,0,1,0.07,16.7,2015,REG,0,1,0,0.07,16.7,29,19,0,5,1,,,,,,,
3858,Drew Moor,TOR,D,22,22,1980,1,1,7,1,0,0/0,1,0,0.05,14.3,2015,REG,0,1,0,0.05,14.3,23,24,4,5,0,COL,Moor,Drew,D,"$258,500","$270,500.00",2015-09-15
3859,Aaron Maund,VAN,D,22,21,1974,1,1,8,2,0,0/0,0,1,0.05,12.5,2015,REG,1,1,0,0.05,25.0,22,10,0,3,0,RSL,Maund,Aaron,D,"$60,000","$63,449.50",2015-09-15
3860,Rob Lovejoy,HOU,F,17,2,337,1,1,8,2,0,0/0,1,0,0.27,12.5,2015,REG,0,1,0,0.27,25.0,3,6,0,0,0,HOU,Lovejoy,Rob,M,"$50,000","$50,000.00",2015-09-15
3861,Chris Duvall,MTL,D,15,14,1283,1,1,9,5,1,0/0,0,1,0.07,11.1,2015,REG,0,1,0,0.07,55.6,18,17,2,3,0,NY,Duvall,Chris,D,"$60,000","$60,000.00",2015-09-15
3862,Thomas,SEA,M,11,7,547,1,1,9,6,0,0/0,1,0,0.16,11.1,2015,REG,0,1,0,0.16,66.7,8,16,4,1,0,,,,,,,
3863,Jámison Olave,RSL,D,22,22,1852,1,1,9,4,0,0/0,1,0,0.05,11.1,2015,REG,0,1,0,0.05,44.4,21,16,1,2,3,,,,,,,
3864,Juan Manuel Martínez,RSL,M-F,8,7,647,1,1,9,6,0,0/0,0,1,0.14,11.1,2015,REG,0,1,0,0.14,66.7,7,29,1,2,0,,,,,,,
3865,Matt Hedges,DAL,D,31,30,2675,1,1,10,1,0,0/0,0,1,0.03,10.0,2015,REG,0,0,1,0.03,10.0,26,13,2,4,0,DAL,Hedges,Matt,D,"$135,000","$135,000.00",2015-09-15
3866,Gonzalo Verón,NYR,M-F,13,2,321,1,1,10,4,0,0/0,1,0,0.28,10.0,2015,REG,0,1,0,0.28,40.0,6,11,2,0,0,,,,,,,
3867,Kyle Bekker,DAL,M,11,4,478,1,1,10,5,0,0/0,0,1,0.19,10.0,2015,REG,0,0,1,0.19,50.0,5,0,0,1,0,MTL,Bekker,Kyle,M,"$61,765","$88,015.00",2015-09-15
3868,Matias Laba,VAN,M,30,30,2539,1,1,12,4,0,0/0,0,1,0.04,8.3,2015,REG,1,1,0,0.04,33.3,60,22,0,6,2,VAN,Laba,Matias,M,"$325,000","$325,000.00",2015-09-15
3869,Gershon Koffie,VAN,M,28,22,2001,1,1,13,2,0,0/0,1,0,0.04,7.7,2015,REG,1,1,0,0.04,15.4,51,37,0,7,0,VAN,Koffie,Gershon,M,"$230,000","$241,000.00",2015-09-15
3870,Marcel de Jong,VAN,D-M,13,11,847,1,1,13,3,0,0/0,0,1,0.11,7.7,2015,REG,0,0,1,0.11,23.1,5,10,1,1,0,KC,de Jong,Marcel,D,"$180,000","$191,500.00",2015-09-15
3871,DaMarcus Beasley,HOU,D,28,28,2374,1,1,13,7,0,0/0,1,0,0.04,7.7,2015,REG,1,1,0,0.04,53.8,16,58,1,1,0,HOU,Beasley,DaMarcus,D,"$750,000","$813,333.33",2015-09-15
3872,Khiry Shelton,NYC,F,17,7,824,1,1,13,4,0,0/0,1,0,0.11,7.7,2015,REG,0,1,0,0.11,30.8,5,10,2,0,0,NYCFC,Shelton,Khiry,F,"$70,000","$87,500.00",2015-09-15
3873,Shaun Wright-Phillips,NYR,M,12,1,291,1,1,15,3,0,0/0,0,1,0.31,6.7,2015,REG,1,0,1,0.31,20.0,7,7,1,1,0,NY,Wright-Phillips,Shaun,M,"$116,004","$145,704.00",2015-09-15
3874,Joevin Jones,CHI,D,28,26,2257,1,1,16,4,0,0/0,1,0,0.04,6.3,2015,REG,0,0,1,0.04,25.0,26,30,0,2,0,CHI,Jones,Joevin,M,"$60,000","$66,166.67",2015-09-15
3875,Matt Miazga,USA,D,26,24,2128,1,1,20,8,0,0/0,0,1,0.04,5.0,2015,REG,0,1,0,0.04,40.0,31,18,0,5,2,NY,Miazga,Matt,D,"$68,250","$74,500.00",2015-09-15
3876,Adam Jahn,CLB,F,26,9,1005,1,1,21,6,1,0/0,0,1,0.09,4.8,2015,REG,1,0,1,0.09,28.6,25,14,13,1,1,SJ,Jahn,Adam,F,"$60,000","$60,000.00",2015-09-15
3877,Maurice Edu,PHI,M,22,22,1980,1,1,22,5,0,0/1,1,0,0.05,4.5,2015,REG,0,0,1,0.05,22.7,37,34,4,8,0,PHI,Edu,Maurice,M,"$700,000","$768,750.00",2015-09-15
3878,Jackson Goncalves,TOR,M,26,14,1374,1,1,24,6,0,0/0,0,1,0.07,4.2,2015,REG,0,0,1,0.07,25.0,24,34,3,2,0,TOR,Goncalves,Jackson,D,"$165,000","$192,500.00",2015-09-15
3879,Luis Gil,RSL,M,24,16,1475,1,1,27,8,0,0/0,0,1,0.06,3.7,2015,REG,0,0,1,0.06,29.6,8,14,0,1,0,RSL,Gil,Luis,M,"$240,000","$335,083.33",2015-09-15
3880,Nicolas Mezquida,VAN,M-F,18,12,932,1,1,28,12,0,0/0,1,0,0.10,3.6,2015,REG,0,1,0,0.10,42.9,29,20,3,3,0,VAN,Mezquida,Nicolas,M-F,"$80,000","$80,000.00",2015-09-15
3881,Ronald Zubar,NYR,D,12,8,701,1,0,2,1,0,0/0,0,1,0.13,50.0,2015,REG,0,0,0,0.00,50.0,9,9,0,2,0,NY,Zubar,Ronald,D,"$240,000","$320,000.00",2015-09-15
3882,Hérculez Gómez,TOR,F,7,2,223,1,0,3,2,0,0/0,1,0,0.40,33.3,2015,REG,0,0,0,0.00,66.7,6,4,0,0,0,,,,,,,
3883,Kwame Watson-Siriboe,NYC,D,11,7,687,1,0,3,1,0,0/0,0,1,0.13,33.3,2015,REG,0,0,0,0.00,33.3,16,3,0,5,1,NYCFC,Watson-Siriboe,Kwame,D,"$65,000","$81,666.67",2015-09-15
3884,Steven Vitória,CAN,D,18,18,1575,1,0,3,1,0,0/0,0,1,0.06,33.3,2015,REG,0,0,0,0.00,33.3,29,13,0,5,0,,,,,,,
3885,Cedrick Mabwati,CLB,M,9,1,233,1,0,3,2,0,0/0,1,0,0.39,33.3,2015,REG,0,0,0,0.00,66.7,3,5,3,0,0,CLB,Mabwati,Cedrick,M,"$201,429","$220,178.52",2015-09-15
3886,Adaílton,CHI,D,17,17,1505,1,0,4,2,1,0/0,1,0,0.06,25.0,2015,REG,0,0,0,0.00,50.0,22,7,0,6,0,,,,,,,
3887,John Stertzer,RSL,M,19,9,860,1,0,4,2,1,0/0,1,0,0.10,25.0,2015,REG,0,0,0,0.00,50.0,15,15,0,5,0,RSL,Stertzer,John,M,"$60,000","$69,166.67",2015-09-15
3888,Kianz Froese,CAN,M,9,1,208,1,0,5,1,1,0/0,0,1,0.43,20.0,2015,REG,0,0,0,0.00,20.0,4,4,0,2,0,VAN,Froese,Kianz,M-F,"$60,000","$64,500.00",2015-09-15
3889,Bradford Jamieson IV,LA,F,7,6,457,1,0,5,2,0,0/0,0,1,0.20,20.0,2015,REG,0,0,0,0.00,40.0,14,10,0,1,0,,,,,,,
3890,James Riley,COL,D,16,16,1430,1,0,5,2,0,0/0,1,0,0.06,20.0,2015,REG,0,0,0,0.00,40.0,26,4,0,4,0,COL,Riley,James,D,"$77,500","$83,750.00",2015-09-15
3891,Eriq Zavaleta,TOR,D,18,11,1054,1,0,6,2,0,0/0,0,1,0.09,16.7,2015,REG,0,0,0,0.00,33.3,10,4,0,1,0,TOR,Zavaleta,Eriq,F,"$85,000","$115,600.00",2015-09-15
3892,Andy Dorman,NE ,M,18,12,1127,1,0,7,2,0,0/0,0,1,0.08,14.3,2015,REG,0,0,0,0.00,28.6,15,11,0,8,0,NE,Dorman,Andy,M,"$145,000","$145,000.00",2015-09-15
3893,Aaron Schoenfeld ,CLB,F,17,1,214,1,0,8,4,0,0/0,1,0,0.42,12.5,2015,REG,0,0,0,0.00,50.0,9,3,0,1,0,,,,,,,
3894,Donny Toia,OCS,M-D,31,29,2699,1,0,9,6,1,0/0,1,0,0.03,11.1,2015,REG,0,0,0,0.00,66.7,28,12,0,4,0,MTL,Toia,Donny,D,"$60,000","$60,000.00",2015-09-15
3895,Kofi Opare,DC,D,18,17,1615,1,0,9,1,0,0/0,1,0,0.06,11.1,2015,REG,0,0,0,0.00,11.1,20,6,1,1,0,DC,Opare,Kofi,D,"$60,000","$60,000.00",2015-09-15
3896,Maxim Tissot,MTL,D,11,7,581,1,0,10,4,0,0/0,0,1,0.15,10.0,2015,REG,0,0,0,0.00,40.0,7,5,2,1,0,MTL,Tissot,Maxim,D,"$60,000","$60,000.00",2015-09-15
3897,Nick LaBrocca,COL,M,13,6,607,1,0,11,2,0,0/0,1,0,0.15,9.1,2015,REG,0,0,0,0.00,18.2,10,5,0,2,0,COL,LaBrocca,Nick,M,"$160,000","$180,000.00",2015-09-15
3898,Sean Franklin,DC ,D,24,23,2089,1,0,11,3,0,0/0,1,0,0.04,9.1,2015,REG,0,0,0,0.00,27.3,22,9,3,4,0,DC,Franklin,Sean,D,"$202,500","$234,166.67",2015-09-15
3899,Innocent Emeghara,SJ ,F,7,6,494,1,0,11,4,1,0/0,0,1,0.18,9.1,2015,REG,0,0,0,0.00,36.4,8,12,1,3,0,SJ,Emeghara,Innocent,F,"$988,000","$1,300,000.00",2015-09-15
3900,Maynor Figueroa,DAL,D,10,10,900,1,0,12,4,0,0/0,1,0,0.10,8.3,2015,REG,0,0,0,0.00,33.3,10,13,0,3,0,COL,Figueroa,Maynor,D,"$99,996","$99,996.00",2015-09-15
3901,Javier Calle,NYC,D,12,7,542,1,0,12,4,0,0/0,1,0,0.17,8.3,2015,REG,0,0,0,0.00,33.3,7,2,0,2,0,NYCFC,Calle,Javier,M,"$200,000","$225,750.00",2015-09-15
3902,Ambroise Oyongo,MTL,D,22,22,1864,1,0,13,3,0,0/0,0,1,0.05,7.7,2015,REG,0,0,0,0.00,23.1,24,30,3,1,2,,,,,,,
3903,Sebastian Hines,ORL,D,23,21,1925,1,0,14,4,1,0/0,1,0,0.05,7.1,2015,REG,0,0,0,0.00,28.6,27,25,0,3,0,ORL,Hines,Sebastian,D,"$108,576","$109,826.00",2015-09-15
3904,Sam Cronin,MIN,M,26,24,2143,1,0,18,2,0,0/0,1,0,0.04,5.6,2015,REG,0,0,0,0.00,11.1,38,15,0,9,1,COL,Cronin,Sam,M,"$200,000","$202,500.00",2015-09-15
3905,Luis Silva,RSL,M,24,11,876,1,0,19,9,1,0/0,0,1,0.10,5.3,2015,REG,0,0,0,0.00,47.4,10,14,4,0,0,RSL,Silva,Luis,M,"$131,384","$162,634.00",2015-09-15
3906,Johan Venegas,MIN,M,12,9,746,1,0,21,7,1,0/0,1,0,0.12,4.8,2015,REG,0,0,0,0.00,33.3,13,23,3,4,0,MTL,Venegas,Johan,M,"$120,000","$132,500.00",2015-09-15
3907,Waylon Francis,SEA,D,28,28,2410,0,7,10,3,0,0/0,0,0,0.00,0.0,2015,REG,3,6,1,0.26,30.0,30,23,1,5,0,CLB,Francis,Waylon,D,"$144,000","$170,166.67",2015-09-15
3908,Steven Beitashour,LFC,D,27,27,2424,0,5,2,0,0,0/0,0,0,0.00,0.0,2015,REG,1,1,4,0.19,0.0,33,28,2,5,0,VAN,Beitashour,Steven,D,"$190,000","$197,166.67",2015-09-15
3909,Andrea Pirlo,NYC,M,13,12,1074,0,5,20,3,0,0/0,0,0,0.00,0.0,2015,REG,2,3,2,0.42,15.0,6,27,1,3,0,NYCFC,Pirlo,Andrea,M,"$2,000,004","$2,315,694.00",2015-09-15
3910,Hector Jimenez,CLB,M,23,12,1112,0,4,3,0,0,0/0,0,0,0.00,0.0,2015,REG,2,1,3,0.32,0.0,12,7,3,3,0,CLB,Jimenez,Hector,M,"$90,000","$90,000.00",2015-09-15
3911,Michael Stephens,CHI,M,20,16,1314,0,4,4,1,0,0/0,0,0,0.00,0.0,2015,REG,2,3,1,0.27,25.0,8,5,0,2,0,CHI,Stephens,Michael,M,"$95,000","$105,000.00",2015-09-15
3912,Angelino,NYC,D,14,10,992,0,4,8,2,0,0/0,0,0,0.00,0.0,2015,REG,1,3,1,0.36,25.0,10,15,3,0,0,,,,,,,
3913,Sheanon Williams,HOU,D,31,27,2428,0,4,9,2,0,0/0,0,0,0.00,0.0,2015,REG,3,4,0,0.15,22.2,22,23,1,5,0,HOU,Williams,Sheanon,F,"$145,000","$150,500.00",2015-09-15
3914,Brek Shea,VAN,D,19,17,1466,0,4,16,1,0,0/0,0,0,0.00,0.0,2015,REG,3,2,2,0.25,6.3,31,18,4,7,1,ORL,Shea,Brek,M-D,"$475,000","$520,000.00",2015-09-15
